AREA,AREA_TITLE,PRIM_STATE
10180,"Abilene, TX",TX
10380,"Aguadilla-Isabela, PR",PR
10420,"Akron, OH",OH
10500,"Albany, GA",GA
10540,"Albany, OR",OR
10580,"Albany-Schenectady-Troy, NY",NY
10740,"Albuquerque, NM",NM
10780,"Alexandria, LA",LA
10900,"Allentown-Bethlehem-Easton, PA-NJ",PA
11020,"Altoona, PA",PA
11100,"Amarillo, TX",TX
11180,"Ames, IA",IA
11260,"Anchorage, AK",AK
11460,"Ann Arbor, MI",MI
11500,"Anniston-Oxford-Jacksonville, AL",AL
11540,"Appleton, WI",WI
11640,"Arecibo, PR",PR
11700,"Asheville, NC",NC
12020,"Athens-Clarke County, GA",GA
12060,"Atlanta-Sandy Springs-Roswell, GA",GA
12100,"Atlantic City-Hammonton, NJ",NJ
12220,"Auburn-Opelika, AL",AL
12260,"Augusta-Richmond County, GA-SC",GA
12420,"Austin-Round Rock, TX",TX
12540,"Bakersfield, CA",CA
12580,"Baltimore-Columbia-Towson, MD",MD
12940,"Baton Rouge, LA",LA
12980,"Battle Creek, MI",MI
13020,"Bay City, MI",MI
13140,"Beaumont-Port Arthur, TX",TX
13220,"Beckley, WV",WV
13380,"Bellingham, WA",WA
13460,"Bend-Redmond, OR",OR
13740,"Billings, MT",MT
13780,"Binghamton, NY",NY
13820,"Birmingham-Hoover, AL",AL
13900,"Bismarck, ND",ND
13980,"Blacksburg-Christiansburg-Radford, VA",VA
14010,"Bloomington, IL",IL
14020,"Bloomington, IN",IN
14100,"Bloomsburg-Berwick, PA",PA
14260,"Boise City, ID",ID
14500,"Boulder, CO",CO
14540,"Bowling Green, KY",KY
14740,"Bremerton-Silverdale, WA",WA
15180,"Brownsville-Harlingen, TX",TX
15260,"Brunswick, GA",GA
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",NY
15500,"Burlington, NC",NC
15680,"California-Lexington Park, MD",MD
15940,"Canton-Massillon, OH",OH
15980,"Cape Coral-Fort Myers, FL",FL
16020,"Cape Girardeau, MO-IL",MO
16060,"Carbondale-Marion, IL",IL
16180,"Carson City, NV",NV
16220,"Casper, WY",WY
16300,"Cedar Rapids, IA",IA
16540,"Chambersburg-Waynesboro, PA",PA
16580,"Champaign-Urbana, IL",IL
16620,"Charleston, WV",WV
16700,"Charleston-North Charleston, SC",SC
16740,"Charlotte-Concord-Gastonia, NC-SC",NC
16820,"Charlottesville, VA",VA
16860,"Chattanooga, TN-GA",TN
16940,"Cheyenne, WY",WY
16980,"Chicago-Naperville-Elgin, IL-IN-WI",IL
17020,"Chico, CA",CA
17140,"Cincinnati, OH-KY-IN",OH
17300,"Clarksville, TN-KY",TN
17420,"Cleveland, TN",TN
17460,"Cleveland-Elyria, OH",OH
17660,"Coeur d'Alene, ID",ID
17780,"College Station-Bryan, TX",TX
17820,"Colorado Springs, CO",CO
17860,"Columbia, MO",MO
17900,"Columbia, SC",SC
17980,"Columbus, GA-AL",GA
18020,"Columbus, IN",IN
18140,"Columbus, OH",OH
18580,"Corpus Christi, TX",TX
18700,"Corvallis, OR",OR
18880,"Crestview-Fort Walton Beach-Destin, FL",FL
19060,"Cumberland, MD-WV",MD
19100,"Dallas-Fort Worth-Arlington, TX",TX
19140,"Dalton, GA",GA
19180,"Danville, IL",IL
19300,"Daphne-Fairhope-Foley, AL",AL
19340,"Davenport-Moline-Rock Island, IA-IL",IA
19380,"Dayton, OH",OH
19460,"Decatur, AL",AL
19500,"Decatur, IL",IL
19660,"Deltona-Daytona Beach-Ormond Beach, FL",FL
19740,"Denver-Aurora-Lakewood, CO",CO
19780,"Des Moines-West Des Moines, IA",IA
19820,"Detroit-Warren-Dearborn, MI",MI
20020,"Dothan, AL",AL
20100,"Dover, DE",DE
20220,"Dubuque, IA",IA
20260,"Duluth, MN-WI",MN
20500,"Durham-Chapel Hill, NC",NC
20700,"East Stroudsburg, PA",PA
20740,"Eau Claire, WI",WI
20940,"El Centro, CA",CA
21060,"Elizabethtown-Fort Knox, KY",KY
21140,"Elkhart-Goshen, IN",IN
21300,"Elmira, NY",NY
21340,"El Paso, TX",TX
21420,"Enid, OK",OK
21500,"Erie, PA",PA
21660,"Eugene, OR",OR
21780,"Evansville, IN-KY",IN
21820,"Fairbanks, AK",AK
22020,"Fargo, ND-MN",ND
22140,"Farmington, NM",NM
22180,"Fayetteville, NC",NC
22220,"Fayetteville-Springdale-Rogers, AR-MO",AR
22380,"Flagstaff, AZ",AZ
22420,"Flint, MI",MI
22500,"Florence, SC",SC
22520,"Florence-Muscle Shoals, AL",AL
22540,"Fond du Lac, WI",WI
22660,"Fort Collins, CO",CO
22900,"Fort Smith, AR-OK",AR
23060,"Fort Wayne, IN",IN
23420,"Fresno, CA",CA
23460,"Gadsden, AL",AL
23540,"Gainesville, FL",FL
23580,"Gainesville, GA",GA
23900,"Gettysburg, PA",PA
24020,"Glens Falls, NY",NY
24140,"Goldsboro, NC",NC
24220,"Grand Forks, ND-MN",ND
24260,"Grand Island, NE",NE
24300,"Grand Junction, CO",CO
24340,"Grand Rapids-Wyoming, MI",MI
24420,"Grants Pass, OR",OR
24500,"Great Falls, MT",MT
24540,"Greeley, CO",CO
24580,"Green Bay, WI",WI
24660,"Greensboro-High Point, NC",NC
24780,"Greenville, NC",NC
24860,"Greenville-Anderson-Mauldin, SC",SC
25020,"Guayama, PR",PR
25060,"Gulfport-Biloxi-Pascagoula, MS",MS
25180,"Hagerstown-Martinsburg, MD-WV",MD
25220,"Hammond, LA",LA
25260,"Hanford-Corcoran, CA",CA
25420,"Harrisburg-Carlisle, PA",PA
25500,"Harrisonburg, VA",VA
25620,"Hattiesburg, MS",MS
25860,"Hickory-Lenoir-Morganton, NC",NC
25940,"Hilton Head Island-Bluffton-Beaufort, SC",SC
25980,"Hinesville, GA",GA
26140,"Homosassa Springs, FL",FL
26300,"Hot Springs, AR",AR
26380,"Houma-Thibodaux, LA",LA
26420,"Houston-The Woodlands-Sugar Land, TX",TX
26580,"Huntington-Ashland, WV-KY-OH",WV
26620,"Huntsville, AL",AL
26820,"Idaho Falls, ID",ID
26900,"Indianapolis-Carmel-Anderson, IN",IN
26980,"Iowa City, IA",IA
27060,"Ithaca, NY",NY
27100,"Jackson, MI",MI
27140,"Jackson, MS",MS
27180,"Jackson, TN",TN
27260,"Jacksonville, FL",FL
27340,"Jacksonville, NC",NC
27500,"Janesville-Beloit, WI",WI
27620,"Jefferson City, MO",MO
27740,"Johnson City, TN",TN
27780,"Johnstown, PA",PA
27860,"Jonesboro, AR",AR
27900,"Joplin, MO",MO
27980,"Kahului-Wailuku-Lahaina, HI",HI
28020,"Kalamazoo-Portage, MI",MI
28100,"Kankakee, IL",IL
28140,"Kansas City, MO-KS",MO
28420,"Kennewick-Richland, WA",WA
28660,"Killeen-Temple, TX",TX
28700,"Kingsport-Bristol-Bristol, TN-VA",TN
28740,"Kingston, NY",NY
28940,"Knoxville, TN",TN
29020,"Kokomo, IN",IN
29100,"La Crosse-Onalaska, WI-MN",WI
29180,"Lafayette, LA",LA
29200,"Lafayette-West Lafayette, IN",IN
29340,"Lake Charles, LA",LA
29420,"Lake Havasu City-Kingman, AZ",AZ
29460,"Lakeland-Winter Haven, FL",FL
29540,"Lancaster, PA",PA
29620,"Lansing-East Lansing, MI",MI
29700,"Laredo, TX",TX
29740,"Las Cruces, NM",NM
29820,"Las Vegas-Henderson-Paradise, NV",NV
29940,"Lawrence, KS",KS
30020,"Lawton, OK",OK
30140,"Lebanon, PA",PA
30300,"Lewiston, ID-WA",ID
30460,"Lexington-Fayette, KY",KY
30620,"Lima, OH",OH
30700,"Lincoln, NE",NE
30780,"Little Rock-North Little Rock-Conway, AR",AR
30860,"Logan, UT-ID",UT
30980,"Longview, TX",TX
31020,"Longview, WA",WA
31080,"Los Angeles-Long Beach-Anaheim, CA",CA
31140,"Louisville/Jefferson County, KY-IN",KY
31180,"Lubbock, TX",TX
31340,"Lynchburg, VA",VA
31420,"Macon, GA",GA
31460,"Madera, CA",CA
31540,"Madison, WI",WI
31740,"Manhattan, KS",KS
31860,"Mankato-North Mankato, MN",MN
31900,"Mansfield, OH",OH
32420,"Mayaguez, PR",PR
32580,"McAllen-Edinburg-Mission, TX",TX
32780,"Medford, OR",OR
32820,"Memphis, TN-MS-AR",TN
32900,"Merced, CA",CA
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",FL
33140,"Michigan City-La Porte, IN",IN
33220,"Midland, MI",MI
33260,"Midland, TX",TX
