Abbreviation,State Name,Region
AL,Alabama,Southeast
AK,Alaska,West
AZ,Arizona,Southwest
AR,Arkansas,Southeast
CA,California,West
CO,Colorado,West
CT,Connecticut,Northeast
DE,Delaware,Northeast
FL,Florida,Southeast
GA,Georgia,Southeast
HI,Hawaii,West
ID,Idaho,West
IL,Illinois,Midwest
IN,Indiana,Midwest
IA,Iowa,Midwest
KS,Kansas,Midwest
KY,Kentucky,Southeast
LA,Louisiana,Southeast
ME,Maine,Northeast
MD,Maryland,Northeast
MA,Massachusetts,Northeast
MI,Michigan,Midwest
MN,Minnesota,Midwest
MS,Mississippi,Southeast
MO,Missouri,Midwest
MT,Montana,West
NE,Nebraska,Midwest
NV,Nevada,West
NH,New Hampshire,Northeast
NJ,New Jersey,Northeast
NM,New Mexico,Southwest
NY,New York,Northeast
NC,North Carolina,Southeast
ND,North Dakota,Midwest
OH,Ohio,Midwest
OK,Oklahoma,Southwest
OR,Oregon,West
PA,Pennsylvania,Northeast
RI,Rhode Island,Northeast
SC,South Carolina,Southeast
SD,South Dakota,Midwest
TN,Tennessee,Southeast
TX,Texas,Southwest
UT,Utah,West
VT,Vermont,Northeast
VA,Virginia,Southeast
WA,Washington,West
WV,West Virginia,Southeast
WI,Wisconsin,Midwest
WY,Wyoming,West
