RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024
102001,0,United States,country,,144080.3247,145034.9001,146086.8322,147265.2783,148203.4222,149125.57,150155.2463,151320.6213,152425.4716,153488.5888,154541.7787,155636.9077,156691.2169,157859.7341,159234.04,160465.5843,161584.3773,162301.9893,163218.2444,164078.4719,165072.0592,165803.5623,166574.9172,167418.2477,168492.6151,169504.5804,170400.2378,171004.5802,171460.9227,171823.7455,172162.8773,172521.9206,172767.2631,173201.4768,174000.8999,175110.3385,176714.6243,178282.1299,179851.3763,180945.5513,181481.5432,181454.2,181288.3798,181603.4661,182724.3623,184356.4397,186509.1129,188806.3856,190788.2258,192590.7937,194587.917,197139.6906,200160.2244,203451.9997,206533.9851,208877.7615,210370.5613,211740.0627,213555.286,215703.3706,218377.489,221407.8134,224978.6887,228851.9095,232456.4858,235829.04,237858.5463,238682.4643,238382.6739,238148.1998,238193.8655,238216.0756,237730.2906,237073.3461,236777.3076,237350.3693,238435.1247,239880.0052,241219.897,242613.4884,243764.5865,244675.2185,245458.9032,245805.6739,246057.8199,246091.5765
394913,1,"New York, NY",msa,NY,304830.8663,307563.2793,309439.148,312206.3645,314601.6466,317188.1054,319672.6129,322284.2515,324206.3057,325261.7923,324937.7482,324997.2422,325696.6728,327760.3038,330249.6796,332927.6433,335692.8463,337555.5589,339043.585,339803.5824,340334.424,340034.2226,340014.2597,339820.4485,341252.7049,343037.3015,345703.7467,347937.6323,349784.2207,351145.7147,351705.4271,351014.1303,349402.5191,347694.0737,347386.4858,348037.8488,350237.2139,352612.6293,355143.1545,356617.119,357540.5495,357503.7093,356049.8347,352979.5683,349547.9172,346848.7306,345853.7009,346447.2298,347499.7893,348818.7708,350347.8433,352086.5265,354217.5769,355962.454,358261.9857,360761.2151,363479.7292,366701.9383,370203.1218,373455.4865,374756.2218,374990.02,375001.2329,376089.5964,377473.856,379890.9522,381345.1858,381686.7235,379902.6416,378021.8854,376918.9951,376748.419,378006.7676,378871.5011,379691.0557,380160.7291,380920.069,382235.502,383402.5047,384529.949,385295.7993,385759.7708,386028.4798,386042.8285,386656.242,387523.7085
753899,2,"Los Angeles, CA",msa,CA,322932.8751,330005.0752,338906.242,346348.8925,351857.9564,356593.2767,358517.7907,359365.1343,359540.342,361792.0133,364805.5519,367601.2835,371782.1545,377740.9501,385001.9042,391209.6703,396291.2684,399705.6511,403294.8506,407303.8301,412771.4485,418136.2149,422324.2238,425159.3476,424633.4529,420833.6313,414990.216,410139.909,407039.7998,404971.9225,404983.9087,407142.1426,410737.9554,414290.8142,417510.2859,421220.899,423785.6763,424948.6202,424666.3071,424253.1086,423037.76,421035.6095,420225.9733,422170.3822,426658.6028,431920.4879,438136.0338,444517.9577,448569.9427,449814.6041,449214.8467,450213.7508,453037.8614,457719.8778,464042.4775,470417.2488,476026.6036,481259.7678,487007.3552,493613.2139,498955.1672,503083.6727,506670.976,510160.2681,514125.6878,517076.6474,519349.7094,519565.5518,518951.3861,518657.1786,519398.9731,520345.4411,518406.9547,513787.7293,508520.0793,506138.0974,506660.064,509239.1583,513319.5823,518574.4096,524408.8506,529160.5101,532877.3283,534562.2555,534080.5235,531055.3303
394463,3,"Chicago, IL",msa,IL,140912.2974,142091.7864,143119.052,143924.8972,144552.9223,144770.4487,145226.4243,145649.5388,146419.786,147604.552,149124.1635,150829.2799,152236.7477,153738.0346,155564.8709,157174.1409,158061.807,157871.7622,157795.3789,157909.2199,158438.5872,158565.9314,158519.1787,158542.1157,159106.3069,159983.2467,160562.4689,160862.8154,160909.4157,160829.656,160462.0684,159971.2751,159264.4843,158934.2305,158905.8783,159583.1974,160684.4729,161721.179,162327.6177,162178.0036,161450.6334,160512.2977,159675.6155,159566.6427,159987.83,160557.5545,161228.2606,161910.0418,162580.6284,163397.5824,164354.5525,165257.3396,165810.0144,166437.3373,167558.1932,168642.6709,169048.1418,169044.2442,169257.3951,169922.1094,170396.795,171038.3717,171972.3066,173587.6208,174341.3365,174606.7803,174124.751,173983.5708,173976.7555,174217.0693,174696.7776,175257.3474,175763.2085,176384.0243,177300.0313,178788.1692,180440.196,182077.5826,183619.9067,185458.9924,187420.4824,189152.4725,190479.9039,190940.1467,191083.1948,191282.0453
394514,4,"Dallas, TX",msa,TX,95730.49755,96881.10607,98099.79371,99442.69056,100651.9091,101788.8634,102959.2157,104215.9812,105569.8532,106825.8334,108084.8209,109297.2533,110421.5643,111693.2197,113204.0802,114696.3397,116030.1116,116816.8759,117626.4224,118258.5641,119044.7343,119522.037,120072.079,120823.003,121731.7085,122437.8943,122789.3882,122717.1797,122667.7025,122729.4162,123010.5342,123204.2002,123366.1962,123612.021,124140.0063,124845.9334,125923.1627,127078.8422,128060.0437,128503.5175,128358.3605,127916.1288,127687.8916,127980.6363,128818.2792,129889.6912,131236.1641,132584.8124,133690.2368,134722.9705,135963.5688,137622.8634,139402.3809,140997.8583,142218.9743,142976.9582,143590.2264,144377.2452,145647.3022,147317.6089,149956.5885,153279.7376,157121.5585,160994.975,164762.9632,168160.8602,170313.1791,171118.7331,170966.0111,171072.879,171473.0376,171948.5128,171854.4435,171499.6462,171182.3487,171121.6202,171147.6557,171603.7502,172305.1515,173536.3598,174503.2373,175074.9387,175230.1501,174853.4366,174654.6312,174613.9529
394692,5,"Houston, TX",msa,TX,89959.26569,90458.84383,91021.63964,91532.43503,91786.218,91983.51522,92265.97493,92688.80113,93083.61053,93440.67365,93897.06955,94393.03614,94905.16334,95526.35948,96299.65934,96872.23256,97279.77184,97523.7435,98013.31,98558.04704,99105.06344,99572.61744,99970.50015,100567.0211,101327.7147,102059.8769,102615.3807,102832.2072,103115.37,103358.5868,103505.3853,103506.7022,103537.9708,103887.84,104478.0891,105157.4108,105813.8115,106470.7341,107141.3541,107723.3476,107934.6162,107849.5833,107642.4709,107795.6078,108281.7118,109040.6491,110046.0882,110998.6647,111690.4435,112167.0397,112790.6815,113768.275,115067.9553,116561.3736,117874.3289,118784.7779,119406.8172,120212.3872,121255.7634,122510.7964,124126.8772,125734.9599,127585.6124,129372.47,131276.9664,133077.2896,134276.2682,135036.0184,135423.6307,136033.6925,136782.3115,137313.1421,137531.9335,137567.9883,137699.5972,137963.1799,138285.4663,138595.1061,138880.1256,139280.9672,139574.2809,139659.9283,139676.9325,139472.851,139387.0476,139112.4298
395209,6,"Washington, DC",msa,VA,269297.1362,270005.8861,270519.7493,271168.9656,271411.5135,271794.3557,272196.2092,273051.9294,273858.0088,274702.8285,275237.285,275888.7391,276513.8851,277212.1356,278013.161,278567.0393,279151.4872,279151.3024,279657.5812,279876.9233,280414.081,280708.2991,281393.3897,282260.0056,283127.8714,283863.782,284653.728,285580.2016,286506.5342,287196.6548,287814.9795,288509.2747,289220.7304,289977.1713,291173.569,292815.5604,295276.8188,297779.6009,300419.8966,302589.1011,303712.7434,303747.9304,303274.369,303481.8475,304580.9696,306034.9832,307609.3538,308895.7175,309423.3937,309325.7218,309287.3484,309661.572,310239.49,310488.2893,309912.3436,308938.2654,307438.8095,306423.5945,305978.5607,306188.6712,306641.5347,307306.2238,308881.5236,310860.9715,312596.7952,313513.1339,313476.4036,312866.1568,311704.7046,310969.9665,310577.4471,310265.2386,309711.8977,309340.3556,309164.7892,309793.9389,310982.1734,312984.8241,315338.6052,317956.3642,320406.3928,322035.6513,322947.7213,322702.471,322431.813,322280.2367
394974,7,"Philadelphia, PA",msa,PA,143030.301,143355.2734,143675.7949,144399.1684,145048.6282,145773.0811,146482.2217,147126.0902,147704.1862,148376.2626,149179.403,149995.2513,150624.8398,151507.163,152649.7408,153718.735,154381.7098,154446.0015,154656.7588,154890.7926,155420.8106,155830.9138,156304.2473,156934.8541,157711.725,158529.0803,159030.5022,159305.3678,159548.5067,159905.6688,160389.4429,160698.3351,160839.6594,161059.0182,161740.448,162729.3624,164973.0856,167233.5362,169336.8337,170220.3109,170540.4151,170388.9373,169802.9952,169356.6884,169577.6953,170584.5304,172394.2256,174347.989,175831.4208,176985.3974,178378.0493,180045.5361,181996.8204,184079.0442,186425.8473,188807.3182,190446.8275,191636.4027,192448.4192,193422.2997,194234.4093,194912.5278,195746.8953,197319.4512,199174.1217,201141.0484,202043.4418,202255.1431,201945.7292,202262.7078,202832.3367,203200.9573,202995.2735,202677.3143,202961.7526,203872.0917,205349.6936,206844.9059,208409.2367,210078.4487,211936.6253,213849.853,215599.8342,216582.7561,216965.9671,216962.6249
394856,8,"Miami, FL",msa,FL,125669.0963,126097.4707,126885.9751,127819.3458,128591.7042,129302.158,130026.5732,130769.6421,131380.8332,131982.8908,132761.1203,133683.5735,134520.5513,135231.6231,135953.9913,136459.3362,136950.8417,137296.7784,138019.3878,138625.0758,139223.5078,139648.11,140431.7744,141547.7156,142795.871,143571.7192,143684.4883,143367.6583,142981.2738,142773.2628,142695.0141,142823.1662,143047.9206,143446.5026,144156.7819,145176.8008,146658.779,147968.8818,148927.0803,149236.999,149000.9618,148642.2441,148327.7064,148537.1142,149062.0285,149815.9856,150833.5544,151909.1609,152758.2345,153387.522,154236.2055,155596.1861,157396.079,159764.7696,162146.8436,164385.354,166160.8597,167956.4207,170268.8461,173030.2169,176817.7054,181166.2903,186073.8065,191358.9594,196617.798,202144.5638,206697.2675,210180.4136,212448.583,214339.1636,216323.58,217981.0609,218939.9203,219516.9934,220146.8602,221130.598,222257.7038,223665.147,224983.3318,226117.4572,226612.2281,226939.6259,227601.8796,227965.4472,228148.0389,227690.5545
394347,9,"Atlanta, GA",msa,GA,148198.2124,149571.5148,150897.4456,152671.2776,154323.062,155699.3991,157099.1331,158380.0563,159750.3234,161257.0813,162869.4349,164822.467,166639.8749,168567.1256,170430.3011,171788.0894,173062.8984,173900.4276,175237.7735,176600.8349,178274.3052,180125.8092,181915.7383,183949.6488,185846.567,187591.6216,188671.5202,189037.2593,189014.1529,188613.9875,188533.8951,188786.4172,189216.3447,189729.5567,190535.8081,191755.5066,193886.0527,195721.5384,197084.2279,197095.2265,196518.2499,195670.4739,195153.1689,195234.3259,196070.2064,197217.8662,198667.4117,200094.151,201187.0568,202621.288,204571.8772,206965.9437,208971.7513,210684.9752,212246.6061,213639.1431,214822.7832,216215.8683,217893.1037,220066.1299,222972.5019,226065.3334,229074.3396,232199.9969,235331.3381,238504.1315,240734.7995,242015.508,243009.0606,243997.2317,245486.7409,246526.5687,246963.5773,246853.5184,246840.2233,247121.9995,247747.0229,248308.4709,249122.5884,250620.5207,252311.434,253475.5192,253794.8224,253164.5934,252659.8118,252095.4374
